ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	geographic location (country and/or sea)	host health state	host scientific name	isolate	isolation source	sample name	serovar	strain
2016-08-24	2016-10-21	ERC000028	SAMEA3677972	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED766	2010	Italy	diseased	Homo sapiens	VTEC	feces	ED766	O26	ED766
2016-08-24	2016-10-21	ERC000028	SAMEA3677971	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED729	2010	Italy	diseased	Homo sapiens	VTEC	feces	ED729	O26	ED729
2016-08-24	2016-10-21	ERC000028	SAMEA3677970	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED728	2010	Italy	diseased	Homo sapiens	VTEC	feces	ED728	O103	ED728
2016-08-24	2016-10-21	ERC000028	SAMEA3677969	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED699	2009	Italy	diseased	Homo sapiens	VTEC	feces	ED699	O157	ED699
2016-08-24	2016-10-21	ERC000028	SAMEA3677968	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED680	2008	Italy	diseased	Homo sapiens	VTEC	feces	ED680	O157	ED680
2016-08-24	2016-10-21	ERC000028	SAMEA3677967	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED679	2008	Italy	diseased	Homo sapiens	VTEC	feces	ED679	O157	ED679
2016-08-24	2016-10-21	ERC000028	SAMEA3677966	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:51Z	2016-10-21T09:45:20Z	public	ED676	2008	Italy	diseased	Homo sapiens	VTEC	feces	ED676	O26	ED676
2016-08-24	2016-10-21	ERC000028	SAMEA3677965	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED672	2008	Italy	diseased	Homo sapiens	VTEC	feces	ED672	O111	ED672
2016-08-24	2016-10-21	ERC000028	SAMEA3677964	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED669	2008	Italy	diseased	Homo sapiens	VTEC	feces	ED669	O26	ED669
2016-08-24	2016-10-21	ERC000028	SAMEA3677963	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED668	2008	Italy	diseased	Homo sapiens	VTEC	feces	ED668	O157	ED668
2016-08-24	2016-10-21	ERC000028	SAMEA3677962	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED666	2007	Italy	diseased	Homo sapiens	VTEC	feces	ED666	O157	ED666
2016-08-24	2016-10-21	ERC000028	SAMEA3677961	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED664	2007	Italy	diseased	Homo sapiens	VTEC	feces	ED664	O111	ED664
